adshex,flight_id,latitude,longitude,altitude,speed,track,squawk,type,timestamp,name,other_names1,other_names2,n_number,serial_number,mfr_mdl_code,mfr,model,year_mfr,type_aircraft,agency
A68BD9,726c0c5,29.8607,-95.3133,3300,58,263,5323,,2015-08-17T22:50:58Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A9C265,72660d6,38.7812,-77.22859,8400,90,21,4414,,2015-08-17T22:50:58Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.7664,-118.08199,7600,81,3,4415,,2015-08-17T22:50:54Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A7A9D4,726bc89,34.16241,-117.253,17500,130,173,4773,PC12,2015-08-17T22:50:49Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9479C,726cbfc,39.0874,-76.81289,950,115,232,0000,,2015-08-17T22:50:46Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
AD4B3C,7265f06,33.76161,-118.082,7600,86,9,4415,,2015-08-17T22:50:44Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
AD4B3C,7265f06,33.7567,-118.08299,7600,92,15,4415,,2015-08-17T22:50:38Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A68BD9,726c0c5,29.86101,-95.29849,3600,70,285,5323,,2015-08-17T22:50:29Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A9C265,72660d6,38.76531,-77.2452,8400,92,60,4414,,2015-08-17T22:50:29Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.74401,-118.09,7600,95,32,4415,,2015-08-17T22:50:18Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.7629,-77.25119,8400,88,72,4414,,2015-08-17T22:50:18Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A7A9D4,726bc89,34.20081,-117.26199,17500,152,167,4773,PC12,2015-08-17T22:50:13Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
AD4B3C,7265f06,33.733,-118.1,7600,90,47,4415,,2015-08-17T22:49:59Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9479C,726cbfc,39.0994,-76.79259,1600,115,233,0000,,2015-08-17T22:49:47Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
A7A9D4,726bc89,34.2329,-117.27099,17500,132,166,4773,PC12,2015-08-17T22:49:38Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9C265,72660d6,38.7651,-77.27679,8400,111,145,4414,,2015-08-17T22:49:28Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A68BD9,726c0c5,29.84461,-95.2841,3600,46,84,5323,,2015-08-17T22:49:18Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A9C265,72660d6,38.7696,-77.28509,8400,108,157,4414,,2015-08-17T22:49:13Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A68BD9,726c0c5,29.844,-95.2918,3600,51,99,5323,,2015-08-17T22:48:53Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
AD4B3C,7265f06,33.7306,-118.14699,7599,87,128,4415,,2015-08-17T22:48:53Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
AD4B3C,7265f06,33.73571,-118.154,7600,88,141,4415,,2015-08-17T22:48:44Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9479C,726cbfc,39.1096,-76.77449,1725,112,232,0000,,2015-08-17T22:48:42Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
A9479C,726cbfc,39.11221,-76.7698,1725,111,231,0000,,2015-08-17T22:48:31Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
AD4B3C,7265f06,33.74231,-118.16,7599,88,154,4415,,2015-08-17T22:48:28Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A7A9D4,726bc89,34.3089,-117.28899,17500,107,162,4773,PC12,2015-08-17T22:48:18Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9479C,726cbfc,39.1188,-76.75769,1550,108,229,0000,,2015-08-17T22:48:12Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
A9C265,72660d6,38.8016,-77.29729,8350,105,230,4414,,2015-08-17T22:48:12Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A9C265,72660d6,38.80591,-77.29629,8350,106,241,4414,,2015-08-17T22:48:03Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A68BD9,726c0c5,29.8511,-95.31369,3600,56,127,5323,,2015-08-17T22:47:58Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A9479C,726cbfc,39.13231,-76.73789,1700,113,235,0000,,2015-08-17T22:47:32Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
A7A9D4,726bc89,34.3598,-117.29699,16900,120,168,4773,PC12,2015-08-17T22:47:19Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9479C,726cbfc,39.13691,-76.7296,1700,110,235,0000,,2015-08-17T22:47:17Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
A68BD9,726c0c5,29.86821,-95.3211,3600,50,213,5323,,2015-08-17T22:47:09Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
AD4B3C,7265f06,33.78761,-118.152,7599,80,237,4415,,2015-08-17T22:47:09Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.81411,-77.2429,8400,88,311,4414,,2015-08-17T22:47:03Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.7931,-118.14,7599,80,252,4415,,2015-08-17T22:46:48Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A68BD9,726c0c5,29.8743,-95.30829,3500,60,271,5323,,2015-08-17T22:46:33Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A9C265,72660d6,38.8006,-77.22889,8400,87,339,4414,,2015-08-17T22:46:33Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A68BD9,726c0c5,29.874,-95.30189,3500,66,279,5323,,2015-08-17T22:46:24Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
AD4B3C,7265f06,33.7948,-118.121,7600,80,282,4415,,2015-08-17T22:46:24Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
AD4B3C,7265f06,33.7944,-118.11899,7599,80,288,4415,,2015-08-17T22:46:18Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9479C,726cbfc,39.15781,-76.69079,1675,110,227,0000,,2015-08-17T22:46:08Z,US DEPARTMENT OF HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,,6974A,7459,1145004,AMERICAN EUROCOPTER CORP,AS350B3,2012,6,dhs
AD4B3C,7265f06,33.78971,-118.10599,7599,80,307,4415,,2015-08-17T22:45:59Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.77911,-77.2256,8425,108,62,4414,,2015-08-17T22:45:48Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.7835,-118.09799,7600,86,322,4415,,2015-08-17T22:45:44Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
