County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
"
RICHMOND",11/06/2018,ONE STOP,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,0.0,101.0,0.0,0.0,101.0,N
"
RICHMOND",11/06/2018,07,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,2.0,0.0,0.0,0.0,2.0,Y
"
RICHMOND",11/06/2018,04,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,16.0,0.0,0.0,0.0,16.0,Y
"
RICHMOND",11/06/2018,12,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,12.0,0.0,0.0,0.0,12.0,Y
"
RICHMOND",11/06/2018,15,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,4.0,0.0,0.0,0.0,4.0,Y
"
RICHMOND",11/06/2018,02,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,552.0,0.0,0.0,0.0,552.0,Y
"
RICHMOND",11/06/2018,05,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,65.0,0.0,0.0,0.0,65.0,Y
"
RICHMOND",11/06/2018,13,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,190.0,0.0,0.0,0.0,190.0,Y
"
RICHMOND",11/06/2018,11,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,156.0,0.0,0.0,0.0,156.0,Y
"
RICHMOND",11/06/2018,08,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,327.0,0.0,0.0,0.0,327.0,Y
"
RICHMOND",11/06/2018,ONE STOP,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,3160.0,0.0,0.0,3160.0,N
"
RICHMOND",11/06/2018,ABSENTEE MAIL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,98.0,0.0,98.0,N
"
RICHMOND",11/06/2018,01,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,307.0,0.0,0.0,0.0,307.0,Y
"
RICHMOND",11/06/2018,14,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,20.0,0.0,0.0,0.0,20.0,Y
"
RICHMOND",11/06/2018,16,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,104.0,0.0,0.0,0.0,104.0,Y
"
RICHMOND",11/06/2018,12,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,304.0,0.0,0.0,0.0,304.0,Y
"
RICHMOND",11/06/2018,15,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,45.0,0.0,0.0,0.0,45.0,Y
"
RICHMOND",11/06/2018,PROVISIONAL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,0.0,44.0,44.0,N
"
RICHMOND",11/06/2018,07,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,114.0,0.0,0.0,0.0,114.0,Y
"
RICHMOND",11/06/2018,04,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,143.0,0.0,0.0,0.0,143.0,Y
"
RICHMOND",11/06/2018,03,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,160.0,0.0,0.0,0.0,160.0,Y
"
RICHMOND",11/06/2018,09,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,706.0,0.0,0.0,0.0,706.0,Y
